kod,obor,zneni,charakteristika,popis,zkratka,umap_x,umap_y
JJK-CJL-001-ZV9-001,Český jazyk a literatura,"Dorozumívá se kultivovaně, výstižně, s jasným komunikačním záměrem a jazykovými prostředky vhodnými pro danou komunikační situaci.","rozlišuje spisovné a nespisovné prostředky fonetické, morfologické a lexikální roviny jazyka a využívá je v komunikaci rozlišuje a charakterizuje jazykové prostředky obecné češtiny a jednotlivých nářečí  rozpozná komunikační situace a volí vhodné jazykové prostředky, které v nich může uplatnit zahájí a moderuje diskusi zapojuje se do diskusí na sociálních sítích a uvědomuje si role účastníků v těchto typech dialogické komunikace využívá digitální prostředí jako možnost rozšířit svoje komunikační dovednosti, strategie a techniky (např. vyhledávání podle klíčových slov, rozvíjení audiovizuální gramotnosti, role v různých typech internetové komunikace, např. facebook, twitter, tik-tok, instagram ad.) prezentuje své komunikační dovednosti (např. prezentace s využitím prostředků audiovizuální techniky a digitálních zdrojů, nácvik praktických komunikačních situací, soutěžní debaty s využitím argumentace, prezentace projektů ad.)","Dorozumívá se kultivovaně, výstižně, s jasným komunikačním záměrem a jazykovými prostředky vhodnými pro danou komunikační situaci. rozlišuje spisovné a nespisovné prostředky fonetické, morfologické a lexikální roviny jazyka a využívá je v komunikaci rozlišuje a charakterizuje jazykové prostředky obecné češtiny a jednotlivých nářečí  rozpozná komunikační situace a volí vhodné jazykové prostředky, které v nich může uplatnit zahájí a moderuje diskusi zapojuje se do diskusí na sociálních sítích a uvědomuje si role účastníků v těchto typech dialogické komunikace využívá digitální prostředí jako možnost rozšířit svoje komunikační dovednosti, strategie a techniky (např. vyhledávání podle klíčových slov, rozvíjení audiovizuální gramotnosti, role v různých typech internetové komunikace, např. facebook, twitter, tik-tok, instagram ad.) prezentuje své komunikační dovednosti (např. prezentace s využitím prostředků audiovizuální techniky a digitálních zdrojů, nácvik praktických komunikačních situací, soutěžní debaty s využitím argumentace, prezentace projektů ad.)",CJL,7.343953,24.077782
JJK-CJL-001-ZV9-002,Český jazyk a literatura,Vyslovuje v souladu s jazykovou normou česká a běžně užívaná cizí slova a užívá je vhodně vzhledem ke komunikační situaci.,"Rozvíjí správnou artikulaci a výslovnost méně frekventovaných slov domácího i cizího původu. U nově osvojených slov dbá na porozumění jejich významu. Posoudí zvukovou podobu přejatých slov (porovná výslovnost v původním jazyce a výslovnost v češtině).  Dbá na svoji artikulaci, dikci, tempo řeči a větnou melodii s ohledem na komunikační situaci (běžná mluva, mluvní cvičení, prezentace ve třídě, debata ad.).  Dbá na svoji artikulaci, dikci, tempo řeči a větnou melodii s ohledem na partnera v komunikaci (kamarádi, spolužáci, výchovný poradce, rodiče, prarodiče ad.).","Vyslovuje v souladu s jazykovou normou česká a běžně užívaná cizí slova a užívá je vhodně vzhledem ke komunikační situaci. Rozvíjí správnou artikulaci a výslovnost méně frekventovaných slov domácího i cizího původu. U nově osvojených slov dbá na porozumění jejich významu. Posoudí zvukovou podobu přejatých slov (porovná výslovnost v původním jazyce a výslovnost v češtině).  Dbá na svoji artikulaci, dikci, tempo řeči a větnou melodii s ohledem na komunikační situaci (běžná mluva, mluvní cvičení, prezentace ve třídě, debata ad.).  Dbá na svoji artikulaci, dikci, tempo řeči a větnou melodii s ohledem na partnera v komunikaci (kamarádi, spolužáci, výchovný poradce, rodiče, prarodiče ad.).",CJL,-1.5219274,9.668721
JJK-CJL-001-ZV9-011,Český jazyk a literatura,"Využívá poznatky o komunikaci, jazyce a stylu k mluvenému nebo písemnému projevu přiměřenému situaci.","Zvolí a uplatní vhodné etické postupy podle svých schopností pro prostředí a adresáta (respektující komunikace, oslovení, nepoužívání argumentačních faulů, stereotypy, generalizování ad.). Správně a přehledně rozvíjí myšlenku s ohledem na účel textu.  Správně propojuje text prostředky nadvětného spojování. Uspořádá úryvky tak, aby sestavený text dával smysl a aby byla dodržena textová návaznost. Vytvoří náročnější slohový útvar podle zadání (esej, výklad, líčení ad.).","Využívá poznatky o komunikaci, jazyce a stylu k mluvenému nebo písemnému projevu přiměřenému situaci. Zvolí a uplatní vhodné etické postupy podle svých schopností pro prostředí a adresáta (respektující komunikace, oslovení, nepoužívání argumentačních faulů, stereotypy, generalizování ad.). Správně a přehledně rozvíjí myšlenku s ohledem na účel textu.  Správně propojuje text prostředky nadvětného spojování. Uspořádá úryvky tak, aby sestavený text dával smysl a aby byla dodržena textová návaznost. Vytvoří náročnější slohový útvar podle zadání (esej, výklad, líčení ad.).",CJL,3.6228662,21.180353
JJK-CJL-001-ZV9-003,Český jazyk a literatura,Rozvíjí své znalosti o tvarosloví a funkčně je využívá.,"Utvoří tvary slov podle zadaných tvaroslovných kategorií.  Správně užívá slova přejatá a jejich tvary.  Správně užívá všechna neohebná slova včetně částic. Pro danou komunikační situaci navrhne vhodný způsob vyjádření (formální × neformální situace vyžadující spisovný/hovorový × nespisovný projev). Vyhledá v textu tvary slov užité nevhodně a nahradí je vhodnými (např. v komunikační situaci zahrnující písemný styk s úřady nahradí nespisovné tvary slov spisovnými, obdobně v neformálním rozhovoru vyhledá spisovné tvary slov v jinak nespisovném projevu). Při vlastní komunikaci vhodně užívá slovní tvary v souladu se svým komunikačním záměrem.","Rozvíjí své znalosti o tvarosloví a funkčně je využívá. Utvoří tvary slov podle zadaných tvaroslovných kategorií.  Správně užívá slova přejatá a jejich tvary.  Správně užívá všechna neohebná slova včetně částic. Pro danou komunikační situaci navrhne vhodný způsob vyjádření (formální × neformální situace vyžadující spisovný/hovorový × nespisovný projev). Vyhledá v textu tvary slov užité nevhodně a nahradí je vhodnými (např. v komunikační situaci zahrnující písemný styk s úřady nahradí nespisovné tvary slov spisovnými, obdobně v neformálním rozhovoru vyhledá spisovné tvary slov v jinak nespisovném projevu). Při vlastní komunikaci vhodně užívá slovní tvary v souladu se svým komunikačním záměrem.",CJL,7.2295737,23.96354
JJK-CJL-001-ZV9-008,Český jazyk a literatura,Využívá elektronické prostředky a informační zdroje ke tvorbě textu.,"Získává informace z prvků typických pro online prostředí (multimediální obsah z e-knih, podcastů, audioknih, sociálních sítí…) a interpretuje je. Využívá je pro vlastní tvorbu, přičemž užívá zásady pro grafickou úpravu textů. Zpracuje informace do jiného zobrazení (graf, infografika, myšlenková mapa, obrázek generovaný AI…) a vysvětlí, jak toto zobrazení pomáhá porozumění obsahu. Podpoří své sdělení jiným formátem, například při nahrávání svého hlasu pracuje s tempem řeči, intonací, pauzami. Vysvětlí, v jakém případě je vhodné využít umělou inteligenci pro získání nebo zpracování informací.","Využívá elektronické prostředky a informační zdroje ke tvorbě textu. Získává informace z prvků typických pro online prostředí (multimediální obsah z e-knih, podcastů, audioknih, sociálních sítí…) a interpretuje je. Využívá je pro vlastní tvorbu, přičemž užívá zásady pro grafickou úpravu textů. Zpracuje informace do jiného zobrazení (graf, infografika, myšlenková mapa, obrázek generovaný AI…) a vysvětlí, jak toto zobrazení pomáhá porozumění obsahu. Podpoří své sdělení jiným formátem, například při nahrávání svého hlasu pracuje s tempem řeči, intonací, pauzami. Vysvětlí, v jakém případě je vhodné využít umělou inteligenci pro získání nebo zpracování informací.",CJL,-7.7224293,18.031548
JJK-CJL-001-ZV9-009,Český jazyk a literatura,"Vyhledá, kriticky posoudí a sdílí informace a další obsah, k tomu volí etické postupy, způsoby a prostředky odpovídající konkrétní situaci.","Vyhledá informaci v tištěných i elektronických zdrojích, porovná ji s jinými zdroji, posoudí důvěryhodnost zdroje, odliší fakt od názoru, odhalí a vysvětlí manipulaci s informacemi. Ukládá si získané informace (písemně, do textového editoru, do připravované prezentace, myšlenkové mapy podle svých preferencí).  Odkazuje na zdroje informací (např. s pomocí citačních generátorů) a zohledňuje autorská práva obrázků, videí a hudby. Sdílí nebo prezentuje informace s ohledem na situaci a na posluchače nebo čtenáře. Vysvětlí, které informace jsou pro sdílení vhodné a které ne.","Vyhledá, kriticky posoudí a sdílí informace a další obsah, k tomu volí etické postupy, způsoby a prostředky odpovídající konkrétní situaci. Vyhledá informaci v tištěných i elektronických zdrojích, porovná ji s jinými zdroji, posoudí důvěryhodnost zdroje, odliší fakt od názoru, odhalí a vysvětlí manipulaci s informacemi. Ukládá si získané informace (písemně, do textového editoru, do připravované prezentace, myšlenkové mapy podle svých preferencí).  Odkazuje na zdroje informací (např. s pomocí citačních generátorů) a zohledňuje autorská práva obrázků, videí a hudby. Sdílí nebo prezentuje informace s ohledem na situaci a na posluchače nebo čtenáře. Vysvětlí, které informace jsou pro sdílení vhodné a které ne.",CJL,3.4697394,21.336597
JJK-CJL-001-ZV9-012,Český jazyk a literatura,"Používá záměrně a promyšleně postupy a strategie umožňující vnímat, chápat a interpretovat text.","V případě potřeby text rychle pročítá (skenuje) s cílem rychle vyhledat informaci, popřípadě posoudit, zda bude použitelný (např. zda je užitečné kliknout na odkaz při vyhledávání nebo v článcích). Podle účelu svého čtení volí vhodný způsob čtení (hluboké čtení, rychlé čtení); zběžně prohlíží i rozsáhlejší texty, aby o nich získal všeobecný přehled (skimming). Využívá orientační prvky a pokročilejší vyhledávací nástroje; orientuje se ve složených komunikátech a v nelineárním textu. Vědomě používá základní strategie porozumění textu (sledování vlastního porozumění, předvídání, hledání souvislostí, vizualizace, kladení otázek…). Odhalí záměr autora a možného adresáta. Využívá různé formy písemných záznamů k usnadnění pochopení (nákresy, myšlenkové mapy, značky, poznámky na okrajích apod.), vysvětlí, která je pro něj v daném případě nejvhodnější. Na základě získaných informací a využitých strategií rozumí textu, vyvodí nepřímo sdělené informace a dokáže ho interpretovat.","Používá záměrně a promyšleně postupy a strategie umožňující vnímat, chápat a interpretovat text. V případě potřeby text rychle pročítá (skenuje) s cílem rychle vyhledat informaci, popřípadě posoudit, zda bude použitelný (např. zda je užitečné kliknout na odkaz při vyhledávání nebo v článcích). Podle účelu svého čtení volí vhodný způsob čtení (hluboké čtení, rychlé čtení); zběžně prohlíží i rozsáhlejší texty, aby o nich získal všeobecný přehled (skimming). Využívá orientační prvky a pokročilejší vyhledávací nástroje; orientuje se ve složených komunikátech a v nelineárním textu. Vědomě používá základní strategie porozumění textu (sledování vlastního porozumění, předvídání, hledání souvislostí, vizualizace, kladení otázek…). Odhalí záměr autora a možného adresáta. Využívá různé formy písemných záznamů k usnadnění pochopení (nákresy, myšlenkové mapy, značky, poznámky na okrajích apod.), vysvětlí, která je pro něj v daném případě nejvhodnější. Na základě získaných informací a využitých strategií rozumí textu, vyvodí nepřímo sdělené informace a dokáže ho interpretovat.",CJL,-6.301694,16.617577
JJK-CJL-001-ZV9-014,Český jazyk a literatura,"Vyjadřuje svoje prožitky literárního, divadelního a audiovizuálního díla.","Je schopný vysvětlit rozdíl mezi neuměleckými a uměleckými texty a shody v recepci uměleckého textu (díla) a děl z jiných druhů umění; obojí je schopný ukázat na konkrétních uměleckých textech (dílech). Vybírá si umělecké texty (umělecká díla se slovesnými prvky) podle svého zájmu a rozšiřuje své čtenářské (divácké...) portfolio a záběr; při výběru se neomezuje na díla určená pro děti či dospívající; stává se zkušeným a poučeným čtenářem. Popíše stěžejní obsahově-formální prvky textu (díla). Vyjádří svůj prožitek z uměleckého textu, jeho divadelního nebo audiovizuálního zpracování apod., uvědoměle hledá souvislosti mezi dílem a vlastními čtenářskými a diváckými zkušenostmi. Sdílí své čtenářské (posluchačské, divácké) prožitky s prožitky ostatních a předjímá a současně přijímá jejich možnou rozdílnost; v diskusi se vyjadřuje kultivovaně. V souvislosti s četbou a aktivitami vztahujícími se k uměleckým textům (dílům) si na základě svých stávajících znalostí vytváří relativně ucelený systém literárních poznatků a osvojuje si další pojmy z oblasti umění; v souhrnu pak tyto znalosti využívá k tomu, aby uměleckému textu (dílu) porozuměl.","Vyjadřuje svoje prožitky literárního, divadelního a audiovizuálního díla. Je schopný vysvětlit rozdíl mezi neuměleckými a uměleckými texty a shody v recepci uměleckého textu (díla) a děl z jiných druhů umění; obojí je schopný ukázat na konkrétních uměleckých textech (dílech). Vybírá si umělecké texty (umělecká díla se slovesnými prvky) podle svého zájmu a rozšiřuje své čtenářské (divácké...) portfolio a záběr; při výběru se neomezuje na díla určená pro děti či dospívající; stává se zkušeným a poučeným čtenářem. Popíše stěžejní obsahově-formální prvky textu (díla). Vyjádří svůj prožitek z uměleckého textu, jeho divadelního nebo audiovizuálního zpracování apod., uvědoměle hledá souvislosti mezi dílem a vlastními čtenářskými a diváckými zkušenostmi. Sdílí své čtenářské (posluchačské, divácké) prožitky s prožitky ostatních a předjímá a současně přijímá jejich možnou rozdílnost; v diskusi se vyjadřuje kultivovaně. V souvislosti s četbou a aktivitami vztahujícími se k uměleckým textům (dílům) si na základě svých stávajících znalostí vytváří relativně ucelený systém literárních poznatků a osvojuje si další pojmy z oblasti umění; v souhrnu pak tyto znalosti využívá k tomu, aby uměleckému textu (dílu) porozuměl.",CJL,4.686431,17.76443
JJK-CJL-001-ZV9-013,Český jazyk a literatura,"Rozpoznává manipulaci v komunikaci, zaujímá k ní kritický postoj a přiměřeně reaguje.","Rozliší typy manipulace – například sugesce, přesvědčování, propaganda, brainwashing. Rozliší a vyhledává prostředky manipulace – psychologické, jazykové, audiovizuální. Rozliší, které jazykové prostředky a jakým způsobem jsou využívány v reklamních sděleních. Využívá poznatky o praktikách manipulátorů, aby se mohl proti manipulaci bránit.","Rozpoznává manipulaci v komunikaci, zaujímá k ní kritický postoj a přiměřeně reaguje. Rozliší typy manipulace – například sugesce, přesvědčování, propaganda, brainwashing. Rozliší a vyhledává prostředky manipulace – psychologické, jazykové, audiovizuální. Rozliší, které jazykové prostředky a jakým způsobem jsou využívány v reklamních sděleních. Využívá poznatky o praktikách manipulátorů, aby se mohl proti manipulaci bránit.",CJL,7.643552,17.411905
JJK-CJL-001-ZV9-015,Český jazyk a literatura,Interpretuje literární díla a díla z oblasti dalších druhů umění.,"Vybírá si umělecké texty (umělecká díla se slovesnými prvky) podle svého zájmu a rozšiřuje své čtenářské (divácké…) portfolio a záběr; při výběru se neomezuje na díla určená pro děti či dospívající; je zkušeným a poučeným čtenářem. Při interpretaci textu (díla) využívá relativně ucelený systém literárních poznatků (zejména termínů) a další poznatky z oblasti umění. Popisuje a vysvětluje obsahově-formální prvky textu (díla) a vysvětluje, jakou v něm mají funkci; vysvětlí motivaci, jednání a prožívání postav a uvažuje nad jejich důsledky; objasňuje autorský záměr. Posuzuje a srovnává různá podání textu (recitace, četba); promýšlí, jaká forma podání by umocnila estetickou působivost textu (díla). Nachází základní shody a rozdíly různých literárních zpracování téže látky, popřípadě zpracování látky v literárním díle a v dalších dílech se slovesnými prvky (divadlo, film, komiks aj.); nachází nejrůznější souvislosti (tematické, žánrové, jazykové…) mezi uměleckým textem (dílem) a dalšími texty (díly). V souvislosti s interpretací sám či s dopomocí vyhledává pro dílo podstatné informace kontextového rázu (biografické, literární, umělecké, kulturněhistorické). Prokazuje schopnost věcně a kultivovaně vyjadřovat poznatky, myšlenky a názory a týmž způsobem o nich diskutovat; upevňuje si pozitivní postoj ke čtení, k literatuře a umění obecně.","Interpretuje literární díla a díla z oblasti dalších druhů umění. Vybírá si umělecké texty (umělecká díla se slovesnými prvky) podle svého zájmu a rozšiřuje své čtenářské (divácké…) portfolio a záběr; při výběru se neomezuje na díla určená pro děti či dospívající; je zkušeným a poučeným čtenářem. Při interpretaci textu (díla) využívá relativně ucelený systém literárních poznatků (zejména termínů) a další poznatky z oblasti umění. Popisuje a vysvětluje obsahově-formální prvky textu (díla) a vysvětluje, jakou v něm mají funkci; vysvětlí motivaci, jednání a prožívání postav a uvažuje nad jejich důsledky; objasňuje autorský záměr. Posuzuje a srovnává různá podání textu (recitace, četba); promýšlí, jaká forma podání by umocnila estetickou působivost textu (díla). Nachází základní shody a rozdíly různých literárních zpracování téže látky, popřípadě zpracování látky v literárním díle a v dalších dílech se slovesnými prvky (divadlo, film, komiks aj.); nachází nejrůznější souvislosti (tematické, žánrové, jazykové…) mezi uměleckým textem (dílem) a dalšími texty (díly). V souvislosti s interpretací sám či s dopomocí vyhledává pro dílo podstatné informace kontextového rázu (biografické, literární, umělecké, kulturněhistorické). Prokazuje schopnost věcně a kultivovaně vyjadřovat poznatky, myšlenky a názory a týmž způsobem o nich diskutovat; upevňuje si pozitivní postoj ke čtení, k literatuře a umění obecně.",CJL,4.6715045,17.777655
JJK-CJL-001-ZV9-016,Český jazyk a literatura,"Tvoří umělecký text podle svých schopností, reflektuje tvorbu uměleckého textu a z reflexe vyvozuje poznatky.","Podle zadání či spontánně doplňuje, přetváří, dotváří umělecký text. Uvědomuje si souvislost mezi uměleckým textem a vlastními životními nebo čtenářskými zkušenostmi a promítá toto vědomí do kreativních aktivit; prakticky zvládá nejrůznější formy a techniky práce s textem. Rozvíjí svoje vyjadřovací schopnosti a stylistické dovednosti a schopnost prezentovat (přečíst, přednést) umělecký text tak, aby umocnil jeho estetickou působivost. Propojuje různé druhy umění (komiks, dramatická etuda, audio a audiovizuální tvorba aj.). Při realizaci vlastních kreativních aktivit využívá podle svých možností rejstřík literárních znalostí a znalostí z oblasti umění. Cíleně rozvíjí své estetické zájmy a preference, je schopný je popsat a reflektovat.","Tvoří umělecký text podle svých schopností, reflektuje tvorbu uměleckého textu a z reflexe vyvozuje poznatky. Podle zadání či spontánně doplňuje, přetváří, dotváří umělecký text. Uvědomuje si souvislost mezi uměleckým textem a vlastními životními nebo čtenářskými zkušenostmi a promítá toto vědomí do kreativních aktivit; prakticky zvládá nejrůznější formy a techniky práce s textem. Rozvíjí svoje vyjadřovací schopnosti a stylistické dovednosti a schopnost prezentovat (přečíst, přednést) umělecký text tak, aby umocnil jeho estetickou působivost. Propojuje různé druhy umění (komiks, dramatická etuda, audio a audiovizuální tvorba aj.). Při realizaci vlastních kreativních aktivit využívá podle svých možností rejstřík literárních znalostí a znalostí z oblasti umění. Cíleně rozvíjí své estetické zájmy a preference, je schopný je popsat a reflektovat.",CJL,7.2628174,15.5540695
JJK-CJL-001-ZV9-006,Český jazyk a literatura,Vytvoří po formální i obsahové stránce funkční písemný projev s využitím znalostí pravidel pravopisu.,"Na základě osvojených schopností a dovedností zhodnotí písemné projevy podle zadání (rozsah, téma ad.). Vytvoří funkční písemný projev a zhodnotí ho na základě osvojených schopností a dovedností.  Vytvoří písemný projev komplexní z hlediska formálního i obsahového v psané podobě i v digitálním prostředí.","Vytvoří po formální i obsahové stránce funkční písemný projev s využitím znalostí pravidel pravopisu. Na základě osvojených schopností a dovedností zhodnotí písemné projevy podle zadání (rozsah, téma ad.). Vytvoří funkční písemný projev a zhodnotí ho na základě osvojených schopností a dovedností.  Vytvoří písemný projev komplexní z hlediska formálního i obsahového v psané podobě i v digitálním prostředí.",CJL,-3.1949909,14.380459
